year,avg_temp,7-Year MA global,avg_temp_oakland,7-Year MA Oakland
1750,8.72,,,
1751,7.98,,,
1752,5.78,,,
1753,8.39,,,
1754,8.47,,,
1755,8.36,,,
1756,8.85,8.078571429,,
1757,9.02,8.121428571,,
1758,6.74,7.944285714,,
1759,7.99,8.26,,
1760,7.19,8.088571429,,
1761,8.77,8.131428571,,
1762,8.61,8.167142857,,
1763,7.5,7.974285714,,
1764,8.4,7.885714286,,
1765,8.25,8.101428571,,
1766,8.41,8.161428571,,
1767,8.22,8.308571429,,
1768,6.78,8.024285714,,
1769,7.69,7.892857143,,
1770,7.69,7.92,,
1771,7.85,7.841428571,,
1772,8.19,7.832857143,,
1773,8.22,7.805714286,,
1774,8.77,7.884285714,,
1775,9.18,8.227142857,,
1776,8.3,8.314285714,,
1777,8.26,8.395714286,,
1778,8.54,8.494285714,,
1779,8.98,8.607142857,,
1780,9.43,8.78,,
1781,8.1,8.684285714,,
1782,7.9,8.501428571,,
1783,7.68,8.412857143,,
1784,7.86,8.355714286,,
1785,7.36,8.187142857,,
1786,8.26,8.084285714,,
1787,8.03,7.884285714,,
1788,8.45,7.934285714,,
1789,8.33,7.995714286,,
1790,7.98,8.038571429,,
1791,8.23,8.091428571,,
1792,8.09,8.195714286,,
1793,8.23,8.191428571,,
1794,8.53,8.262857143,,
1795,8.35,8.248571429,,
1796,8.27,8.24,,
1797,8.51,8.315714286,,
1798,8.67,8.378571429,,
1799,8.51,8.438571429,,
1800,8.48,8.474285714,,
1801,8.59,8.482857143,,
1802,8.58,8.515714286,,
1803,8.5,8.548571429,,
1804,8.84,8.595714286,,
1805,8.56,8.58,,
1806,8.43,8.568571429,,
1807,8.28,8.54,,
1808,7.63,8.402857143,,
1809,7.08,8.188571429,,
1810,6.92,7.962857143,,
1811,6.86,7.68,,
1812,7.05,7.464285714,,
1813,7.74,7.365714286,,
1814,7.59,7.267142857,,
1815,7.24,7.211428571,,
1816,6.94,7.191428571,,
1817,6.98,7.2,,
1818,7.83,7.338571429,,
1819,7.37,7.384285714,,
1820,7.62,7.367142857,,
1821,8.09,7.438571429,,
1822,8.19,7.574285714,,
1823,7.72,7.685714286,,
1824,8.55,7.91,,
1825,8.39,7.99,,
1826,8.36,8.131428571,,
1827,8.81,8.301428571,,
1828,8.17,8.312857143,,
1829,7.94,8.277142857,,
1830,8.52,8.391428571,,
1831,7.64,8.261428571,,
1832,7.45,8.127142857,,
1833,8.01,8.077142857,,
1834,8.15,7.982857143,,
1835,7.39,7.871428571,,
1836,7.7,7.837142857,,
1837,7.38,7.674285714,,
1838,7.51,7.655714286,,
1839,7.63,7.681428571,,
1840,7.8,7.651428571,,
1841,7.69,7.585714286,,
1842,8.02,7.675714286,,
1843,8.17,7.742857143,,
1844,7.65,7.781428571,,
1845,7.85,7.83,,
1846,8.55,7.961428571,,
1847,8.09,8.002857143,,
1848,7.98,8.044285714,,
1849,7.98,8.038571429,14.12,
1850,7.9,8,13.8,
1851,8.18,8.075714286,14.39,
1852,8.1,8.111428571,13.81,
1853,8.04,8.038571429,14.4,
1854,8.21,8.055714286,13.98,
1855,8.11,8.074285714,14.2,14.1
1856,8,8.077142857,14.1,14.09714286
1857,7.76,8.057142857,14.78,14.23714286
1858,8.1,8.045714286,14.19,14.20857143
1859,8.25,8.067142857,13.71,14.19428571
1860,7.96,8.055714286,13.81,14.11
1861,7.85,8.004285714,14.88,14.23857143
1862,7.56,7.925714286,14.43,14.27142857
1863,8.11,7.941428571,14.43,14.31857143
1864,7.98,7.972857143,15.18,14.37571429
1865,8.18,7.984285714,14.32,14.39428571
1866,8.29,7.99,14.67,14.53142857
1867,8.44,8.058571429,14.46,14.62428571
1868,8.25,8.115714286,14.25,14.53428571
1869,8.43,8.24,14.57,14.55428571
1870,8.2,8.252857143,14.19,14.52
1871,8.12,8.272857143,14.34,14.4
1872,8.19,8.274285714,14.63,14.44428571
1873,8.35,8.282857143,14.46,14.41428571
1874,8.43,8.281428571,14.09,14.36142857
1875,7.86,8.225714286,14.76,14.43428571
1876,8.08,8.175714286,14.44,14.41571429
1877,8.54,8.224285714,15.03,14.53571429
1878,8.83,8.325714286,14.37,14.54
1879,8.17,8.322857143,14.2,14.47857143
1880,8.12,8.29,13.22,14.30142857
1881,8.27,8.267142857,14.39,14.34428571
1882,8.13,8.305714286,13.58,14.17571429
1883,7.98,8.291428571,13.93,14.10285714
1884,7.77,8.181428571,14.05,13.96285714
1885,7.92,8.051428571,15.05,14.06
1886,7.95,8.02,14.58,14.11428571
1887,7.91,7.99,14.38,14.28
1888,8.09,7.964285714,14.7,14.32428571
1889,8.32,7.991428571,14.81,14.5
1890,7.97,7.99,14.05,14.51714286
1891,8.02,8.025714286,14.46,14.57571429
1892,8.07,8.047142857,14.05,14.43285714
1893,8.06,8.062857143,13.4,14.26428571
1894,8.16,8.098571429,13.8,14.18142857
1895,8.15,8.107142857,13.95,14.07428571
1896,8.21,8.091428571,14.22,13.99
1897,8.29,8.137142857,13.81,13.95571429
1898,8.18,8.16,13.77,13.85714286
1899,8.4,8.207142857,14.04,13.85571429
1900,8.5,8.27,14.64,14.03285714
1901,8.54,8.324285714,14.34,14.11
1902,8.3,8.345714286,14.07,14.12714286
1903,8.22,8.347142857,14.12,14.11285714
1904,8.09,8.318571429,14.5,14.21142857
1905,8.23,8.325714286,14.39,14.3
1906,8.38,8.322857143,14.81,14.41
1907,7.95,8.244285714,14.34,14.36714286
1908,8.19,8.194285714,14.01,14.32
1909,8.18,8.177142857,14.05,14.31714286
1910,8.22,8.177142857,14.17,14.32428571
1911,8.18,8.19,13.46,14.17571429
1912,8.17,8.181428571,13.95,14.11285714
1913,8.3,8.17,14.38,14.05142857
1914,8.59,8.261428571,14.33,14.05
1915,8.59,8.318571429,14.3,14.09142857
1916,8.23,8.325714286,13.61,14.02857143
1917,8.02,8.297142857,14.06,14.01285714
1918,8.13,8.29,14.14,14.11
1919,8.38,8.32,13.6,14.06
1920,8.36,8.328571429,13.72,13.96571429
1921,8.57,8.325714286,14.24,13.95285714
1922,8.41,8.3,13.61,13.85428571
1923,8.42,8.327142857,14.13,13.92857143
1924,8.51,8.397142857,14.1,13.93428571
1925,8.53,8.454285714,14.34,13.96285714
1926,8.73,8.504285714,15.14,14.18285714
1927,8.52,8.527142857,14.24,14.25714286
1928,8.63,8.535714286,14.32,14.26857143
1929,8.24,8.511428571,14.25,14.36
1930,8.63,8.541428571,14.25,14.37714286
1931,8.72,8.571428571,14.93,14.49571429
1932,8.71,8.597142857,14.24,14.48142857
1933,8.34,8.541428571,13.93,14.30857143
1934,8.63,8.557142857,15.31,14.46142857
1935,8.52,8.541428571,14.12,14.43285714
1936,8.55,8.585714286,15.13,14.55857143
1937,8.7,8.595714286,14.36,14.57428571
1938,8.86,8.615714286,14.35,14.49142857
1939,8.76,8.622857143,14.81,14.57285714
1940,8.76,8.682857143,15.12,14.74285714
1941,8.77,8.702857143,14.98,14.69571429
1942,8.73,8.732857143,14.2,14.70714286
1943,8.76,8.762857143,14.72,14.64857143
1944,8.85,8.784285714,14.17,14.62142857
1945,8.58,8.744285714,14.41,14.63
1946,8.68,8.732857143,13.83,14.49
1947,8.8,8.738571429,14.51,14.40285714
1948,8.75,8.735714286,13.65,14.21285714
1949,8.59,8.715714286,13.9,14.17
1950,8.37,8.66,14.66,14.16142857
1951,8.63,8.628571429,14.06,14.14571429
1952,8.64,8.637142857,14.11,14.10285714
1953,8.87,8.664285714,14.42,14.18714286
1954,8.56,8.63,14.18,14.14
1955,8.63,8.612857143,13.74,14.15285714
1956,8.28,8.568571429,14.08,14.17857143
1957,8.73,8.62,14.59,14.16857143
1958,8.77,8.64,15.41,14.36142857
1959,8.73,8.652857143,15.39,14.54428571
1960,8.58,8.611428571,14.59,14.56857143
1961,8.8,8.645714286,14.65,14.63571429
1962,8.75,8.662857143,14.22,14.70428571
1963,8.86,8.745714286,14.19,14.72
1964,8.41,8.7,14.24,14.67
1965,8.53,8.665714286,14.14,14.48857143
1966,8.6,8.647142857,14.74,14.39571429
1967,8.7,8.664285714,14.5,14.38285714
1968,8.52,8.624285714,14.66,14.38428571
1969,8.6,8.602857143,14.51,14.42571429
1970,8.7,8.58,14.76,14.50714286
1971,8.6,8.607142857,13.89,14.45714286
1972,8.5,8.602857143,14.25,14.47285714
1973,8.95,8.652857143,14.58,14.45
1974,8.47,8.62,14.41,14.43714286
1975,8.74,8.651428571,13.82,14.31714286
1976,8.35,8.615714286,14.72,14.34714286
1977,8.85,8.637142857,14.63,14.32857143
1978,8.69,8.65,14.96,14.48142857
1979,8.73,8.682857143,14.99,14.58714286
1980,8.98,8.687142857,14.74,14.61
1981,9.17,8.787142857,15.22,14.72571429
1982,8.64,8.772857143,14,14.75142857
1983,9.03,8.87,15.07,14.80142857
1984,8.69,8.847142857,14.97,14.85
1985,8.66,8.842857143,14.23,14.74571429
1986,8.83,8.857142857,15,14.74714286
1987,8.99,8.858571429,14.95,14.77714286
1988,9.2,8.862857143,15.08,14.75714286
1989,8.92,8.902857143,14.45,14.82142857
1990,9.23,8.931428571,14.73,14.77285714
1991,9.18,9.001428571,14.5,14.70571429
1992,8.84,9.027142857,15.53,14.89142857
1993,8.87,9.032857143,14.97,14.88714286
1994,9.04,9.04,14.21,14.78142857
1995,9.35,9.061428571,15.31,14.81428571
1996,9.04,9.078571429,15.56,14.97285714
1997,9.2,9.074285714,15.75,15.11857143
1998,9.52,9.122857143,14.38,15.10142857
1999,9.29,9.187142857,14.41,14.94142857
2000,9.2,9.234285714,15.02,14.94857143
2001,9.41,9.287142857,15.25,15.09714286
2002,9.57,9.318571429,15,15.05285714
2003,9.53,9.388571429,15.43,15.03428571
2004,9.32,9.405714286,15.37,14.98
2005,9.7,9.431428571,15.17,15.09285714
2006,9.53,9.465714286,15.02,15.18
2007,9.73,9.541428571,14.94,15.16857143
2008,9.43,9.544285714,15.05,15.14
2009,9.51,9.535714286,15.02,15.14285714
2010,9.7,9.56,14.67,15.03428571
2011,9.52,9.588571429,14.5,14.91
2012,9.51,9.561428571,15.05,14.89285714
2013,9.61,9.572857143,16.23,15.06571429
2014,9.57,9.55,,
2015,9.83,9.607142857,,
